Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
164000	1.7362	0.4459	0.4175	0.4360	0.4368	0.8566	0.8814	0.8652	0.8657	0.460781	0.449438	0.462383	0.407842
165000	1.7359	0.4457	0.4175	0.4359	0.4369	0.8567	0.8813	0.8652	0.8657	0.461069	0.449900	0.462676	0.408058
166000	1.7358	0.4457	0.4176	0.4356	0.4370	0.8567	0.8813	0.8655	0.8656	0.461334	0.450329	0.462913	0.408220
167000	1.7357	0.4457	0.4176	0.4355	0.4369	0.8567	0.8813	0.8656	0.8656	0.461557	0.450713	0.463112	0.408351
168000	1.7356	0.4456	0.4177	0.4355	0.4369	0.8568	0.8813	0.8656	0.8656	0.461763	0.451071	0.463322	0.408509
169000	1.7354	0.4454	0.4176	0.4354	0.4370	0.8569	0.8813	0.8657	0.8655	0.461950	0.451421	0.463521	0.408634
170000	1.7354	0.4455	0.4176	0.4354	0.4369	0.8568	0.8814	0.8658	0.8655	0.462139	0.451750	0.463715	0.408761
171000	1.7355	0.4454	0.4176	0.4355	0.4370	0.8568	0.8814	0.8658	0.8655	0.462785	0.452453	0.464325	0.409317
172000	1.7355	0.4454	0.4177	0.4355	0.4370	0.8569	0.8813	0.8658	0.8654	0.463168	0.452948	0.464713	0.409643
173000	1.7360	0.4454	0.4178	0.4357	0.4371	0.8569	0.8813	0.8657	0.8654	0.463503	0.453369	0.465017	0.409898
174000	1.7359	0.4452	0.4177	0.4356	0.4373	0.8571	0.8813	0.8658	0.8653	0.463745	0.453718	0.465258	0.410075
175000	1.7359	0.4450	0.4177	0.4356	0.4376	0.8572	0.8812	0.8658	0.8652	0.463921	0.454026	0.465428	0.410194
176000	1.7359	0.4450	0.4176	0.4357	0.4377	0.8572	0.8813	0.8659	0.8652	0.464058	0.454322	0.465583	0.410304
177000	1.7359	0.4449	0.4175	0.4356	0.4377	0.8572	0.8813	0.8659	0.8652	0.464200	0.454605	0.465720	0.410391
178000	1.7360	0.4450	0.4175	0.4358	0.4377	0.8573	0.8814	0.8659	0.8652	0.464337	0.454872	0.465867	0.410476
179000	1.7358	0.4449	0.4175	0.4357	0.4376	0.8574	0.8813	0.8659	0.8651	0.464441	0.455099	0.465971	0.410526
180000	1.7360	0.4449	0.4176	0.4358	0.4377	0.8574	0.8813	0.8659	0.8651	0.464550	0.455328	0.466075	0.410589
181000	1.7362	0.4450	0.4176	0.4358	0.4378	0.8574	0.8813	0.8659	0.8650	0.465198	0.456012	0.466709	0.411182
182000	1.7361	0.4450	0.4176	0.4357	0.4379	0.8574	0.8813	0.8660	0.8649	0.465567	0.456417	0.467066	0.411512
183000	1.7360	0.4449	0.4177	0.4355	0.4378	0.8575	0.8812	0.8660	0.8650	0.465855	0.456741	0.467369	0.411781
184000	1.7358	0.4449	0.4175	0.4356	0.4377	0.8575	0.8813	0.8661	0.8650	0.466093	0.457010	0.467610	0.412017
185000	1.7359	0.4449	0.4175	0.4357	0.4379	0.8575	0.8813	0.8661	0.8650	0.466270	0.457218	0.467810	0.412184
186000	1.7363	0.4449	0.4177	0.4356	0.4381	0.8575	0.8812	0.8661	0.8649	0.466436	0.457422	0.467994	0.412363
187000	1.7365	0.4450	0.4176	0.4357	0.4382	0.8575	0.8812	0.8661	0.8649	0.466586	0.457607	0.468141	0.412513
